bez,lor_ab_2021,umonat,ustunde,uwochentag,ukategorie,uart,utyp1,ulichtverh,istrad,istpkw,istfuss,istkrad,istgkfz,istsonstige,ustrzustand,xgcswgs84,ygcswgs84,all_acc,perc_bike_acc,rushhours
7,7501133.0,9,13,5,3,2,7,0,0,1,0,0,0,0,0,13.37558903,52.42909385,1,0.0,12 to 16
3,3100101.0,11,6,2,3,2,6,2,0,1,0,0,0,1,1,13.47948482,52.62722172,2,0.0,04 to 08
12,12601032.0,5,15,1,3,2,6,0,0,1,0,0,0,0,0,13.32420191,52.60751483,1,0.0,12 to 16
3,3601451.0,8,7,3,3,5,3,0,1,1,0,0,0,0,0,13.43457473,52.53561866,2,0.5,04 to 08
1,1300836.0,6,16,4,3,3,6,0,1,1,0,0,0,0,0,13.36988851,52.54038342,2,0.5,16 to 20
5,5200633.0,5,19,5,2,6,7,0,0,1,1,0,0,0,0,13.18553429,52.51532832,2,0.0,16 to 20
4,4300414.0,4,19,4,3,3,5,1,1,1,0,0,0,0,1,13.29886025,52.51117642,2,0.5,16 to 20
7,7501135.0,9,14,4,3,3,6,0,0,0,0,1,0,1,0,13.39645684,52.4231668,2,0.0,12 to 16
2,2400521.0,12,14,6,3,3,6,0,0,1,0,1,0,0,0,13.4287219,52.51818229,2,0.0,12 to 16
7,7100205.0,8,14,4,3,0,7,0,0,0,0,1,0,1,0,13.36174766,52.4971452,2,0.0,12 to 16
7,7501030.0,6,22,6,3,2,7,2,0,1,0,0,0,0,0,13.38483821,52.45023607,1,0.0,20 to 24
4,4300622.0,10,14,1,3,0,6,0,0,1,0,0,0,0,1,13.31577878,52.51209274,1,0.0,12 to 16
2,2500727.0,4,16,4,3,6,4,0,1,0,1,0,0,0,0,13.45410718,52.51618682,2,0.5,16 to 20
4,4200308.0,11,17,4,3,2,6,2,0,1,0,0,0,0,0,13.2830989,52.51893029,1,0.0,16 to 20
1,1100102.0,9,17,3,3,5,2,0,1,1,0,0,0,0,0,13.36834502,52.50630542,2,0.5,16 to 20
12,12100103.0,8,17,2,3,2,6,0,0,1,0,1,0,0,0,13.36106337,52.56984154,2,0.0,16 to 20
4,4300414.0,4,9,4,3,5,3,0,0,1,0,0,0,0,1,13.2972364,52.51087962,1,0.0,08 to 12
3,3400830.0,10,11,6,2,5,7,0,1,1,0,0,0,0,1,13.42774802,52.56751703,2,0.5,08 to 12
4,4300620.0,8,16,4,3,5,2,0,1,1,0,0,0,0,0,13.3332539,52.51343282,2,0.5,16 to 20
1,1100310.0,7,23,4,3,2,6,2,0,1,0,0,0,1,1,13.42023536,52.52520283,2,0.0,20 to 24
4,4501148.0,6,10,6,2,8,1,0,0,0,0,1,0,0,0,13.30968606,52.48201461,1,0.0,08 to 12
10,10100312.0,11,5,5,2,3,6,2,1,0,0,1,0,0,0,13.53728504,52.52720576,2,0.5,04 to 08
1,1100206.0,4,7,4,3,3,6,0,1,1,0,0,0,0,0,13.38836072,52.51711768,2,0.5,04 to 08
7,7601236.0,9,15,5,3,6,4,0,0,1,1,0,0,0,0,13.36188566,52.41374014,2,0.0,12 to 16
2,2200208.0,12,20,3,3,5,2,2,1,1,0,0,0,0,0,13.38926438,52.49748826,2,0.5,20 to 24
12,12100205.0,6,19,2,3,6,2,0,0,1,1,0,0,0,0,13.34784496,52.57448766,2,0.0,16 to 20
4,4400726.0,4,13,3,3,2,7,0,0,1,0,0,0,1,0,13.28473853,52.49524971,2,0.0,12 to 16
3,3601452.0,9,20,5,3,5,2,2,1,1,0,0,0,0,0,13.44523473,52.52887167,2,0.5,20 to 24
